0,1,2,3,4,5
"channel-id=""x""","tvg-id=""x""","tvg-logo=""x""","group-title=""x""",sp| antena 3 hd,http://ip.mooniptv.cz:80/ah7h9ehtyh/pr4kadqkib/79360
"channel-id=""x""","tvg-id=""x""","tvg-logo=""x""","group-title=""x""",sp| m.deportes1 hd,http://ip.mooniptv.cz:80/ah7h9ehtyh/pr4kadqkib/79277
"channel-id=""x""","tvg-id=""x""","tvg-logo=""x""","group-title=""x""",sp| m.deportes1 hd,http://ip.mooniptv.cz:80/ah7h9ehtyh/pr4kadqkib/79277
"channel-id=""x""","tvg-id=""x""","tvg-logo=""x""","group-title=""x""",sp| mezzo,http://ip.mooniptv.cz:80/ah7h9ehtyh/pr4kadqkib/79275
